week,pick,opponent,win_prob
6,GB,CIN,1.0
7,KC,LV,1.0
8,IND,TEN,1.0
9,LAR,NO,0.8569
10,DEN,LV,0.8385
11,NE,NYJ,0.8585
12,DET,NYG,0.8812
13,LAC,LV,0.8274
14,TB,NO,0.8391
15,PHI,LV,0.8548
16,BUF,CLE,0.7718
17,LV,NYG,0.6704
18,ATL,NO,0.759
