week,pick,opponent,win_prob
6,GB,CIN,1.0
7,KC,LV,1.0
8,IND,TEN,1.0
9,LAR,NO,1.0
10,DEN,LV,1.0
11,BAL,CLE,1.0
12,DET,NYG,1.0
13,SEA,MIN,0.8099
14,BUF,CIN,0.9115
15,SF,TEN,0.865
16,HOU,LV,0.7559
17,NE,NYJ,0.9045
18,JAX,TEN,0.8099
