week,pick,opponent,win_prob
1,DEN,L,1.0
2,BAL,L,1.0
3,SEA,L,1.0
4,HOU,L,1.0
5,ARI,TEN,0.7152
6,GB,CIN,0.8515
7,KC,LV,0.8234
8,PHI,NYG,0.8347
9,LAR,NO,0.794
10,CHI,NYG,0.6678
11,NE,NYJ,0.6852
12,DET,NYG,0.7668
13,MIA,NO,0.7152
14,TB,NO,0.7821
15,SF,TEN,0.8257
16,BUF,CLE,0.778
17,PIT,CLE,0.6354
18,ATL,NO,0.6869
