week,pick,opponent,win_prob
6,GB,CIN,1.0
7,KC,LV,1.0
8,IND,TEN,0.8244
9,LAR,NO,0.7953
10,DEN,LV,0.7953
11,NE,NYJ,0.8452
12,SEA,TEN,0.7294
13,LAC,LV,0.7725
14,BUF,CIN,0.8463
15,PHI,LV,0.8304
16,HOU,LV,0.7038
17,PIT,CLE,0.6601
18,ATL,NO,0.6878
