week,pick,opponent,win_prob
6,GB,CIN,1.0
7,KC,LV,1.0
8,IND,TEN,1.0
9,LAR,NO,0.8569
10,CHI,NYG,0.8274
11,BAL,CLE,0.8219
12,DET,NYG,0.8812
13,LAC,LV,0.806
14,BUF,CIN,0.843
15,PHI,LV,0.8548
16,MIN,NYG,0.759
17,NE,NYJ,0.798
18,ATL,NO,0.7319
