week,pick,win_prob
1,WSH,0.783
2,BAL,0.895
3,KC,0.828
4,DET,0.865
5,MIN,0.731
6,PHI,0.828
7,DEN,0.783
8,NE,0.783
9,SF,0.783
10,BUF,0.731
11,GB,0.783
12,SEA,0.671
13,LAC,0.731
14,TB,0.783
15,CHI,0.783
16,HOU,0.731
17,PIT,0.731
18,CIN,0.828
