week,home_team,away_team,home_win_prob,away_win_prob,home_score,away_score,home_preadjustment,away_preadjustment
6,NYJ,DEN,0.188,0.812,2.87,8.65,3.12,7.65
6,PIT,CLE,0.7103,0.2897,7.63,4.18,6.38,3.18
6,TB,SF,0.585,0.415,8.15,6.84,7.65,7.59
6,WSH,CHI,0.4624,0.5376,6.56,7.13,6.06,6.38
7,ARI,GB,0.3405,0.6595,5.69,8.15,5.44,8.15
7,CHI,NO,0.7908,0.2092,6.88,1.87,6.38,3.12
7,CIN,PIT,0.3795,0.6205,4.56,6.38,6.06,6.38
7,CLE,MIA,0.506,0.494,4.18,4.09,3.18,4.59
7,DAL,WSH,0.5554,0.4446,6.88,6.06,5.38,6.06
7,DEN,NYG,0.8672,0.1328,9.15,1.9,7.65,3.65
7,DET,TB,0.5845,0.4155,8.41,7.15,7.91,7.65
7,JAX,LAR,0.4475,0.5525,5.85,6.63,5.85,7.38
7,KC,LV,0.8507,0.1493,10.56,3.88,8.06,4.38
7,LAC,IND,0.4921,0.5079,8.12,8.24,7.12,7.24
7,MIN,PHI,0.4049,0.5951,7.16,8.59,5.91,8.59
7,NYJ,CAR,0.3494,0.6506,2.87,5.18,3.12,5.18
7,SEA,HOU,0.5446,0.4554,8.35,7.69,6.85,6.44
7,SF,ATL,0.5642,0.4358,7.34,6.38,7.59,5.38
7,TEN,NE,0.2074,0.7926,3.12,8.18,3.12,7.18
8,ATL,MIA,0.5889,0.4111,5.88,4.59,5.38,4.59
8,BAL,CHI,0.6287,0.3713,8.28,6.38,7.03,6.38
8,CAR,BUF,0.3026,0.6974,6.18,9.19,5.18,8.44
8,CIN,NYJ,0.582,0.418,4.06,2.87,6.06,3.12
8,DEN,DAL,0.6827,0.3173,9.15,6.38,7.65,5.38
8,HOU,SF,0.5072,0.4928,6.94,6.84,6.44,7.59
8,IND,TEN,0.8236,0.1764,8.74,3.12,7.24,3.12
8,KC,WSH,0.7757,0.2243,10.56,6.06,8.06,6.06
8,LAC,MIN,0.6484,0.3516,8.12,5.91,7.12,5.91
8,NE,CLE,0.7983,0.2017,8.68,3.68,7.18,3.18
8,NO,TB,0.2349,0.7651,2.87,7.15,3.12,7.65
8,PHI,NYG,0.8891,0.1109,9.59,1.9,8.59,3.65
8,PIT,GB,0.4131,0.5869,6.88,8.15,6.38,8.15
9,BUF,KC,0.5273,0.4727,9.44,9.06,8.44,8.06
9,CIN,CHI,0.3399,0.6601,4.06,6.38,6.06,6.38
9,DAL,ARI,0.5668,0.4332,6.88,5.94,5.38,5.44
9,DET,MIN,0.6869,0.3131,9.16,6.41,7.91,5.91
9,GB,CAR,0.7003,0.2997,9.15,6.18,8.15,5.18
9,HOU,DEN,0.4147,0.5853,7.44,8.65,6.44,7.65
9,LAR,NO,0.8569,0.1431,8.13,1.87,7.38,3.12
9,LV,JAX,0.3305,0.6695,4.13,6.6,4.38,5.85
9,MIA,BAL,0.196,0.804,5.09,10.03,4.59,7.03
9,NE,ATL,0.6582,0.3418,8.68,6.38,7.18,5.38
9,NYG,SF,0.196,0.804,1.9,6.84,3.65,7.59
9,PIT,IND,0.4045,0.5955,6.88,8.24,6.38,7.24
9,TEN,LAC,0.2166,0.7834,3.12,7.62,3.12,7.12
9,WSH,SEA,0.426,0.574,6.56,7.6,6.06,6.85
10,CAR,NO,0.6905,0.3095,5.18,2.37,5.18,3.12
10,CHI,NYG,0.8274,0.1726,6.88,1.4,6.38,3.65
10,DEN,LV,0.8182,0.1818,9.15,3.88,7.65,4.38
10,GB,PHI,0.4863,0.5137,9.15,9.34,8.15,8.59
10,HOU,JAX,0.5419,0.4581,6.94,6.35,6.44,5.85
10,IND,ATL,0.662,0.338,8.74,6.38,7.24,5.38
10,LAC,PIT,0.6215,0.3785,8.12,6.38,7.12,6.38
10,MIA,BUF,0.3068,0.6932,5.59,8.44,4.59,8.44
10,MIN,BAL,0.2624,0.7376,6.41,10.03,5.91,7.03
10,NYJ,CLE,0.478,0.522,4.12,4.43,3.12,3.18
10,SEA,ARI,0.6815,0.3185,8.35,5.69,6.85,5.44
10,SF,LAR,0.5325,0.4675,7.84,7.38,7.59,7.38
10,TB,NE,0.5158,0.4842,8.4,8.18,7.65,7.18
10,WSH,DET,0.4045,0.5955,6.56,7.91,6.06,7.91
11,ARI,SF,0.4539,0.5461,6.19,6.84,5.44,7.59
11,ATL,CAR,0.5147,0.4853,6.38,6.18,5.38,5.18
11,BUF,TB,0.6582,0.3418,9.44,7.15,8.44,7.65
11,CLE,BAL,0.1781,0.8219,4.68,10.03,3.18,7.03
11,DEN,KC,0.4884,0.5116,9.65,9.81,7.65,8.06
11,JAX,LAC,0.3766,0.6234,5.85,7.62,5.85,7.12
11,LAR,SEA,0.5021,0.4979,7.38,7.35,7.38,6.85
11,LV,DAL,0.3131,0.6869,3.38,6.13,4.38,5.38
11,MIA,WSH,0.4311,0.5689,5.09,6.06,4.59,6.06
11,MIN,CHI,0.4664,0.5336,6.41,6.88,5.91,6.38
11,NE,NYJ,0.8402,0.1598,8.68,2.87,7.18,3.12
11,NYG,GB,0.1436,0.8564,1.9,8.15,3.65,8.15
11,PHI,DET,0.6175,0.3825,9.59,7.91,8.59,7.91
