week,pick,opponent,win_prob
6,GB,CIN,0.8759
7,DEN,NYG,0.7125
8,PHI,NYG,0.8
9,LAR,NO,0.7755
10,SEA,ARI,0.676
11,NE,NYJ,0.7791
12,BAL,NYJ,0.804
13,LAC,LV,0.7496
14,BUF,CIN,0.865
15,SF,TEN,0.8144
16,KC,TEN,0.7762
17,PIT,CLE,0.6932
18,ATL,NO,0.6658
