week,pick,win_prob
1,WSH,0.783
2,BAL,0.895
3,GB,0.828
4,HOU,0.783
5,ARI,0.731
6,DEN,0.731
7,KC,0.828
8,PHI,0.865
9,LAR,0.783
10,CHI,0.731
11,NE,0.731
12,DET,0.828
13,LAC,0.731
14,TB,0.783
15,SF,0.828
16,BUF,0.865
17,PIT,0.731
18,CIN,0.828
