week,pick,opponent,win_prob
6,GB,,1.0
7,NE,,1.0
8,PHI,,1.0
9,LAR,,1.0
10,DET,,1.0
11,BAL,CLE,0.8496
12,SEA,TEN,0.8286
13,LAC,LV,0.8817
14,DEN,LV,0.8707
15,SF,TEN,0.8726
16,BUF,CLE,0.8274
17,PIT,CLE,0.6815
18,JAX,TEN,0.7269
