week,pick,opponent,win_prob
6,GB,CIN,0.8554
7,KC,LV,0.8593
8,PHI,NYG,0.8593
9,LAC,TEN,0.7553
10,DEN,LV,0.7279
11,NE,NYJ,0.7021
12,DET,NYG,0.8017
13,BAL,CIN,0.8411
14,TB,NO,0.7807
15,SF,TEN,0.8544
16,BUF,CLE,0.8188
17,SEA,CAR,0.6354
18,ATL,NO,0.6678
