week,pick,win_prob
1,WSH,0.783
2,BAL,0.895
3,SEA,0.731
4,HOU,0.783
5,ARI,0.731
6,PHI,0.828
7,KC,0.828
8,NE,0.783
9,LAR,0.783
10,DEN,0.731
11,GB,0.783
12,DET,0.828
13,SF,0.828
14,TB,0.783
15,CHI,0.783
16,BUF,0.865
17,PIT,0.731
18,CIN,0.828
