week,pick,opponent,win_prob
6,GB,CIN,1.0
7,KC,LV,1.0
8,PHI,NYG,0.7994
9,LAR,NO,0.7953
10,DEN,LV,0.8176
11,NE,NYJ,0.863
12,DET,NYG,0.748
13,LAC,LV,0.7967
14,BUF,CIN,0.8463
15,SF,TEN,0.8292
16,HOU,LV,0.7327
17,TB,MIA,0.7277
18,ATL,NO,0.6878
