week,pick,opponent,win_prob
1,DEN,L,1.0
2,BAL,L,1.0
3,SEA,L,1.0
4,BUF,NO,0.868
5,DET,CIN,0.769
6,GB,CIN,0.836
7,KC,LV,0.807
8,IND,TEN,0.72
9,LAR,NO,0.753
10,CHI,NYG,0.632
11,NE,NYJ,0.696
12,SF,CAR,0.753
13,MIA,NO,0.725
14,TB,NO,0.793
15,PHI,LV,0.811
16,HOU,LV,0.72
17,ARI,CIN,0.69
18,ATL,NO,0.714
