week,pick,opponent,win_prob
1,DEN,L,1.0
2,BAL,L,1.0
3,SEA,L,1.0
4,BUF,NO,0.868
5,DET,CIN,0.815
6,GB,CIN,0.871
7,KC,LV,0.807
8,PHI,NYG,0.811
9,LAR,NO,0.753
10,CHI,NYG,0.632
11,PIT,CIN,0.798
12,NE,CIN,0.758
13,MIA,NO,0.725
14,TB,NO,0.793
15,SF,TEN,0.824
16,HOU,LV,0.72
17,ARI,CIN,0.748
18,JAX,TEN,0.671
