week,pick,opponent,win_prob
6,GB,CIN,1.0
7,CHI,NO,0.7536
8,IND,TEN,0.7987
9,LAR,NO,0.7755
10,TB,NE,0.6554
11,PIT,CIN,0.7449
12,BAL,NYJ,0.7551
13,LAC,LV,0.7496
14,BUF,CIN,0.8474
15,SF,TEN,0.8144
16,KC,TEN,0.8219
17,NE,NYJ,0.7791
18,JAX,TEN,0.6968
