week,pick,opponent,win_prob
1,DEN,L,1.0
2,BAL,L,1.0
3,SEA,L,1.0
4,HOU,L,1.0
5,ARI,TEN,0.7119
6,GB,CIN,0.8515
7,KC,LV,0.8234
8,PHI,NYG,0.8347
9,LAR,NO,0.794
10,CHI,NYG,0.6678
11,PIT,CIN,0.6903
12,DET,NYG,0.7668
13,LAC,LV,0.7567
14,BUF,CIN,0.865
15,SF,TEN,0.8257
16,MIA,CIN,0.6572
17,NE,NYJ,0.6206
18,TB,CAR,0.7152
