week,pick,opponent,win_prob
6,GB,CIN,1.0
7,KC,LV,1.0
8,IND,TEN,0.804
9,LAR,NO,0.7725
10,CHI,NYG,0.6478
11,PIT,CIN,0.7543
12,DET,NYG,0.6923
13,BAL,CIN,0.7688
14,TB,NO,0.828
15,PHI,LV,0.7628
16,BUF,CLE,0.7613
17,NE,NYJ,0.782
18,JAX,TEN,0.7003
