week,pick,opponent,win_prob
6,GB,CIN,1.0
7,KC,LV,1.0
8,IND,TEN,1.0
9,LAR,NO,1.0
10,DEN,LV,1.0
11,BAL,CLE,1.0
12,DET,NYG,1.0
13,LAC,LV,1.0
14,BUF,CIN,0.8574
15,SF,TEN,0.9552
16,HOU,LV,0.8817
17,NE,NYJ,0.9128
18,JAX,TEN,0.9205
