week,pick,opponent,win_prob
1,DEN,L,1.0
2,BAL,L,1.0
3,SEA,L,1.0
4,HOU,L,1.0
5,ARI,L,1.0
6,GB,CIN,0.8504
7,KC,LV,0.828
8,PHI,NYG,0.828
9,LAC,TEN,0.7403
10,CHI,NYG,0.6608
11,NE,NYJ,0.7021
12,DET,NYG,0.7752
13,JAX,TEN,0.6608
14,TB,NO,0.7668
15,SF,TEN,0.8443
16,MIA,CIN,0.6608
17,PIT,CLE,0.628
18,BUF,NYJ,0.8411
