week,pick,opponent,win_prob
6,GB,CIN,0.8504
7,NE,TEN,0.7021
8,PHI,NYG,0.828
9,LAC,TEN,0.7403
10,DEN,LV,0.7119
11,BAL,CLE,0.7119
12,DET,NYG,0.7752
13,MIA,NO,0.6766
14,TB,NO,0.7668
15,SF,TEN,0.8443
16,KC,TEN,0.8067
17,PIT,CLE,0.628
18,BUF,NYJ,0.8411
