week,pick,opponent,win_prob
6,GB,CIN,1.0
7,KC,LV,1.0
8,IND,TEN,1.0
9,LAR,NO,1.0
10,DEN,LV,1.0
11,BAL,CLE,0.8304
12,DET,NYG,0.8914
13,LAC,LV,0.8817
14,BUF,CIN,0.8506
15,PHI,LV,0.8781
16,HOU,LV,0.7791
17,NE,NYJ,0.8274
18,JAX,TEN,0.7269
